Date,Global_active_power,kWh
2010-01-01,1224.252,20.40
2010-01-02,1308.836,21.81393333
2010-01-03,2083.454,34.72423333
2010-01-04,1604.132,26.73553333
2010-01-05,2219.78,36.99633333
2010-01-06,1777.18,29.61966667
2010-01-07,1769.442,29.4907
2010-01-08,1797.208,29.95346667
2010-01-09,2336.9,38.94833333
2010-01-10,2508.466,41.80776667
2010-01-11,1518.684,25.3114
2010-01-12,1282.538,21.37563333
2010-01-14,618.488,10.30813333
2010-01-15,2196.76,36.61266667
2010-01-16,2150.112,35.8352
2010-01-17,1906.556,31.77593333
2010-01-18,1881.098,31.35163333
2010-01-19,2433.508,40.55846667
2010-01-20,2351.728,39.19546667
2010-01-21,2137.856,35.63093333
2010-01-22,1790.626,29.84376667
2010-01-23,2608.51,43.47516667
2010-01-24,2269.42,37.82366667
2010-01-25,1930.51,32.17516667
2010-01-26,2067.564,34.4594
2010-01-27,2760.902,46.01503333
2010-01-28,2110.234,35.17056667
2010-01-29,2092.99,34.88316667
2010-01-30,2842.728,47.3788
2010-01-31,1799.196,29.9866
2010-02-01,1693.778,28.22963333
2010-02-02,2157.432,35.9572
2010-02-03,2903.014,48.38356667
2010-02-04,2316.27,38.6045
2010-02-05,2098.892,34.98153333
2010-02-06,2712.986,45.21643333
2010-02-07,1625.708,27.09513333
2010-02-08,2582.238,43.0373
2010-02-09,2420.932,40.34886667
2010-02-10,1944.542,32.40903333
2010-02-11,1369.768,22.82946667
2010-02-12,1892.998,31.54996667
2010-02-13,2351.556,39.1926
2010-02-14,1686.698,28.11163333
2010-02-15,2097.132,34.9522
2010-02-16,1797.756,29.9626
2010-02-17,2054.56,34.24266667
2010-02-18,1761.156,29.3526
2010-02-19,1953.572,32.55953333
2010-02-20,1983.728,33.06213333
2010-02-21,2740.314,45.6719
2010-02-22,1474.036,24.56726667
2010-02-23,1461.28,24.35466667
2010-02-24,1914.278,31.90463333
2010-02-25,1880.204,31.33673333
2010-02-26,2120.156,35.33593333
2010-02-27,1765.056,29.4176
2010-02-28,711.666,11.8611
2010-03-01,1298.728,21.64546667
2010-03-02,766.906,12.78176667
2010-03-03,935.834,15.59723333
2010-03-04,682.88,11.38133333
2010-03-05,1133.726,18.89543333
2010-03-06,794.712,13.2452
2010-03-07,1372.472,22.87453333
2010-03-08,2557.098,42.6183
2010-03-09,1760.112,29.3352
2010-03-10,1822.632,30.3772
2010-03-11,1951.09,32.51816667
2010-03-12,1645.424,27.42373333
2010-03-13,2383.01,39.71683333
2010-03-14,1566.714,26.1119
2010-03-15,1791.85,29.86416667
2010-03-16,1542.65,25.71083333
2010-03-17,2009.13,33.4855
2010-03-18,1562.682,26.0447
2010-03-19,1663.384,27.72306667
2010-03-20,131.732,2.195533333
2010-03-21,917.282,15.28803333
2010-03-22,1618.59,26.9765
2010-03-23,1822.162,30.36936667
2010-03-24,1994.752,33.24586667
2010-03-25,1679.884,27.99806667
2010-03-26,1651.284,27.5214
2010-03-27,1847.97,30.7995
2010-03-28,1798.214,29.97023333
2010-03-29,1622.738,27.04563333
2010-03-30,1906.454,31.77423333
2010-03-31,1923.802,32.06336667
2010-04-01,1687.44,28.124
2010-04-02,1648.622,27.47703333
2010-04-03,1805.278,30.08796667
2010-04-04,1690.388,28.17313333
2010-04-05,1118.82,18.647
2010-04-06,1825.852,30.43086667
2010-04-07,1596.982,26.61636667
2010-04-08,1649.22,27.487
2010-04-09,1233.35,20.55583333
2010-04-10,1190.208,19.8368
2010-04-11,1602.81,26.7135
2010-04-12,1439.426,23.99043333
2010-04-13,1512.704,25.21173333
2010-04-14,1660.364,27.67273333
2010-04-15,1872.178,31.20296667
2010-04-16,1562.062,26.03436667
2010-04-17,1557.712,25.96186667
2010-04-18,1476.106,24.60176667
2010-04-19,1708.594,28.47656667
2010-04-20,1833.628,30.56046667
2010-04-21,1579.914,26.3319
2010-04-22,1460.904,24.3484
2010-04-23,1180.536,19.6756
2010-04-24,1518.418,25.30696667
2010-04-25,1542.742,25.71236667
2010-04-26,1082.716,18.04526667
2010-04-27,1250.94,20.849
2010-04-28,867.858,14.4643
2010-04-29,1103.724,18.3954
2010-04-30,1118.628,18.6438
2010-05-01,1320.158,22.00263333
2010-05-02,2187.91,36.46516667
2010-05-03,1411.302,23.5217
2010-05-04,1516.96,25.28266667
2010-05-05,1805.308,30.08846667
2010-05-06,1299.25,21.65416667
2010-05-07,1644.004,27.40006667
2010-05-08,1533.422,25.55703333
2010-05-09,1566.51,26.1085
2010-05-10,1467.892,24.46486667
